id_match,home_team,away_team,home_result,away_result,edition,round,city,edition_year
1.0,France,Mexico (México),4.0,1.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
2.0,USA,Belgium (België),3.0,0.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
3.0,Yugoslavia (Југославија),Brazil (Brasil),2.0,1.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
4.0,Romania (România),Peru (Perú),3.0,1.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
5.0,Argentina,France,1.0,0.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
6.0,Chile,Mexico (México),3.0,0.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
7.0,Yugoslavia (Југославија),Bolivia,4.0,0.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
8.0,USA,Paraguay,3.0,0.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
9.0,Uruguay,Peru (Perú),1.0,0.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
10.0,Chile,France,1.0,0.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
11.0,Argentina,Mexico (México),6.0,3.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
12.0,Brazil (Brasil),Bolivia,4.0,0.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
13.0,Paraguay,Belgium (België),1.0,0.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
14.0,Uruguay,Romania (România),4.0,0.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
15.0,Argentina,Chile,3.0,1.0,1930-URUGUAY,GROUP_STAGE,Montevideo,1930
16.0,Argentina,USA,6.0,1.0,1930-URUGUAY,1/2_FINAL,Montevideo,1930
17.0,Uruguay,Yugoslavia (Југославија),6.0,1.0,1930-URUGUAY,1/2_FINAL,Montevideo,1930
18.0,Uruguay,Argentina,4.0,2.0,1930-URUGUAY,_FINAL,Montevideo,1930
19.0,Sweden (Sverige),Estonia (Eesti),6.0,2.0,1934-ITALY,PRELIMINARY-Europe,Stockholm,1933
20.0,Lithuania (Lietuva),Sweden (Sverige),0.0,2.0,1934-ITALY,PRELIMINARY-Europe,Kaunas,1933
21.0,Yugoslavia (Југославија),Switzerland (Schweiz / Suisse),2.0,2.0,1934-ITALY,PRELIMINARY-Europe,Beograd,1933
22.0,Poland (Polska),Czechoslovakia (Československo),1.0,2.0,1934-ITALY,PRELIMINARY-Europe,Warszawa,1933
23.0,Switzerland (Schweiz / Suisse),Romania (România),2.0,0.0,1934-ITALY,PRELIMINARY-Europe,Bern,1933
24.0,Haiti (Haïti),Cuba,1.0,3.0,1934-ITALY,PRELIMINARY-N/C.America,Port-au-Prince,1934
25.0,Haiti (Haïti),Cuba,1.0,1.0,1934-ITALY,PRELIMINARY-N/C.America,Port-au-Prince,1934
26.0,Haiti (Haïti),Cuba,0.0,6.0,1934-ITALY,PRELIMINARY-N/C.America,Port-au-Prince,1934
27.0,Irish Free State (Saorstát Éireann),Belgium (België),4.0,4.0,1934-ITALY,PRELIMINARY-Europe,Dublin,1934
